"linha","tipo","marca","modelo","nome","descricao","tem_pdf","pdf_url"
"21","Trator Agrícola","CASE","FARMALL 100C MECH CAB","FOLHETO TECNICO DOS TRATORES CASE MODELOS 100 E 110","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2ac-7959-77ef-9477-583e2a259cf1/019e179e-003d-7242-9567-643f7904eb86.pdf"
"22","Trator Agrícola","CASE","FARMALL 100C MECH CAB","FOLHETO TECNICO DOS TRATORES CASE MODELOS 80 – 90 – 100","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2ac-7959-77ef-9477-583e2a259cf1/019e179d-ffce-76dd-a657-81119136d4b4.pdf"
"23","Trator Agrícola","CASE","FARMALL 100C MECH ROPS","CATALOGO DE PEÇAS DE REPOSIÇÃO PARA TRATORES DA MARCA CASE","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2ac-be98-7e64-9c4a-f04052669202/019e179e-7b8d-7a45-9cff-73efc6b75e3e.pdf"
"24","Trator Agrícola","CASE","FARMALL 100C MECH ROPS","ESPECIFICAÇÕES TECNICAS DOS TRATORES CASE IH 100 E 110","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2ac-be98-7e64-9c4a-f04052669202/019e179e-7bfd-7574-95a1-72673324b8d4.pdf"
"25","Trator Agrícola","CASE","FARMALL 100C MECH ROPS","ESPECIFICAÇÕES TECNICAS DOS TRATORES CASE IH 80 - 90 - 100","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2ac-be98-7e64-9c4a-f04052669202/019e179e-7bdd-7826-8de3-417a496dec29.pdf"
"26","Trator Agrícola","CASE","FARMALL 100C MECH ROPS","FOLHETO TECNICO DOS TRATORES CASE MODELOS 100 E 110","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2ac-be98-7e64-9c4a-f04052669202/019e179e-7cd9-7b82-91b4-fe79bbaed4ff.pdf"
"27","Trator Agrícola","CASE","FARMALL 100C MECH ROPS","FOLHETO TECNICO DOS TRATORES CASE MODELOS 80 – 90 – 100","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2ac-be98-7e64-9c4a-f04052669202/019e179e-7c85-79ea-9fdf-5942b65330ef.pdf"
"28","Trator Agrícola","CASE","FARMALL 100 PLAT","CATALOGO DE PEÇAS DE REPOSIÇÃO PARA TRATORES DA MARCA CASE","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2a4-e6b2-7d91-9ec3-6c7d447bb4ac/019e17a5-1591-73e2-8b40-ac6b769c8412.pdf"
"29","Trator Agrícola","CASE","FARMALL 100 PLAT","ESPECIFICAÇÕES TECNICAS DOS TRATORES CASE IH 80 - 90 - 100","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2a4-e6b2-7d91-9ec3-6c7d447bb4ac/019e17a5-15e5-758f-a7ac-1c0a80ff49c5.pdf"
"30","Trator Agrícola","CASE","FARMALL 100 PLAT","FOLHETO TECNICO DOS TRATORES CASE MODELOS 100 E 110","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2a4-e6b2-7d91-9ec3-6c7d447bb4ac/019e17a5-16dd-75de-ab33-965efbf6e873.pdf"
"31","Trator Agrícola","CASE","FARMALL 100 PLAT","FOLHETO TECNICO DOS TRATORES CASE MODELOS 80 – 90 – 100","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2a4-e6b2-7d91-9ec3-6c7d447bb4ac/019e17a5-1612-7da2-ba56-65bb8c3b5931.pdf"
"32","Trator Agrícola","CASE","FARMALL 110A CAB","CATALOGO DE PEÇAS DE REPOSIÇÃO PARA TRATORES DA MARCA CASE","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/01957100-b0de-7512-bc71-9d796d7eb3b3/019e17a5-c98d-7e00-95b2-6dffa7892f8f.pdf"
"33","Trator Agrícola","CASE","FARMALL 110A CAB","ESPECIFICAÇÕES TECNICAS DOS TRATORES CASE IH 100 E 110","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/01957100-b0de-7512-bc71-9d796d7eb3b3/019e17a5-c9dc-70db-8382-9358e2733d78.pdf"
