"linha","tipo","marca","modelo","nome","descricao","tem_pdf","pdf_url"
"22","Colhedora de Algodão","JOHN DEERE","9970","Catalogo de peças Colhedora de algodão John deere CP 9970 - INGLÊS","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0196fe89-8e62-7e2d-9541-32be7b236c7d/019dab2a-1ba2-7ea2-9fb8-82f1fd8534ca.pdf"
"23","Colhedora de Algodão","JOHN DEERE","9970","MANUAL DE OPERADOR DA COLHEDORA DE ALGODÃO JOHN DEERE 9970","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0196fe89-8e62-7e2d-9541-32be7b236c7d/019dab2a-1c57-7b05-8284-ff9609f4ede9.pdf"
"24","Colhedora de Algodão","JOHN DEERE","9976","Catalogo de peças Colhedora de algodão John Deere 9976 INGLÊS","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019da6bf-2e6a-71ad-861a-3c1aa4e64d30/019dab2a-c6f7-766b-ba31-36caf515a32f.pdf"
"25","Colhedora de Algodão","JOHN DEERE","9976","Esquema técnico elétrico Colhedora de algodão John Deere CP 9976","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019da6bf-2e6a-71ad-861a-3c1aa4e64d30/019dab2a-c786-75a0-a0fd-bc176aa60de9.pdf"
"26","Colhedora de Algodão","JOHN DEERE","9976","MANUAL DO OPERADOR DA COLHEDORA DE ALGODÃO JOHN DEERE 9976","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019da6bf-2e6a-71ad-861a-3c1aa4e64d30/019dab2a-c82e-729a-8bdb-ee1b3df138cf.pdf"
"27","Colhedora de Algodão","JOHN DEERE","9986","CATALOGO DE PEÇAS DA COLHEDORA DE ALGODÃO JOHN DEERE - CP9996 - INGLÊS","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019da6bf-c61d-7a3d-b6c9-b61a8be956f9/019dab33-c498-74fe-8881-96fed9155aea.pdf"
"28","Colhedora de Algodão","JOHN DEERE","9986","Esquema técnico eletrico Colhedora de algodão John deere 9996","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019da6bf-c61d-7a3d-b6c9-b61a8be956f9/019dab33-c556-7248-9b02-dbb021326d2a.pdf"
"29","Colhedora de Algodão","JOHN DEERE","9986","MANUAL DO OPERADOR DA COLHEDORA DE ALGODÃO JOHN DEERE 9996","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019da6bf-c61d-7a3d-b6c9-b61a8be956f9/019dab33-c57c-7eff-8a84-57bf395ff62c.pdf"
"30","Colhedora de Algodão","JOHN DEERE","9996","CATALOGO DE PEÇAS DA COLHEDORA DE ALGODÃO JOHN DEERE - CP9996 - INGLÊS","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195b3ba-39a7-7f94-8ae5-77fcb1b06d86/019dab34-a1c1-769c-88ca-b82fbb406a05.pdf"
"31","Colhedora de Algodão","JOHN DEERE","9996","Esquema técnico eletrico Colhedora de algodão John deere 9996","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195b3ba-39a7-7f94-8ae5-77fcb1b06d86/019dab34-a266-7d9b-b4e4-615aa4b4d15b.pdf"
"32","Colhedora de Algodão","JOHN DEERE","9996","MANUAL DO OPERADOR DA COLHEDORA DE ALGODÃO JOHN DEERE 9996","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195b3ba-39a7-7f94-8ae5-77fcb1b06d86/019dab34-a296-7f66-96b1-412366fc0d54.pdf"
"33","Colhedora de Algodão","JOHN DEERE","CP690","Blocos_Hidraulicos COTTON CP 690","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195afb4-0ac6-78a8-8d11-acccc0d6a2d0/019dab3d-6d7a-7d38-acde-f0fb7a893270.pdf"
"34","Colhedora de Algodão","JOHN DEERE","CP690","CATALOGO DE PEÇAS DA COLHEDORA DE ALGODAO-JONH-DEERE-CP690 - INGLÊS","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195afb4-0ac6-78a8-8d11-acccc0d6a2d0/019dab3d-6da5-7723-9cdb-87c615a8171b.pdf"
"35","Colhedora de Algodão","JOHN DEERE","CP690","COLHEDORA DE ALGODÃO JOHN DEERE CP690","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195afb4-0ac6-78a8-8d11-acccc0d6a2d0/019dab3d-73d7-7fa4-913d-989047580721.pdf"
"36","Colhedora de Algodão","JOHN DEERE","CP690","GUIA DE REFERENCIA RÁPIDA DA COLHEDORA D EALGODÃO CP690 - CS690","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195afb4-0ac6-78a8-8d11-acccc0d6a2d0/019dab3d-741d-781c-bd8d-41e1d68c0236.pdf"
