"marca","modelo","escopo","tipo_documento","pasta_sugerida","idioma_sugerido","nome_arquivo","caminho_zip","tamanho_bytes","compactado_bytes","status_validacao","observacao"
"VALTRA","A62s","modelo","manual_operador","01_manual_operador","PT","MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","TRATORES AGRICOLAS VALTRA 2/A62s/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","35105049","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A63F","modelo","catalogo_pecas","03_catalogo_pecas","PT","CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","TRATORES AGRICOLAS VALTRA 2/A63F/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","3058480","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A63F","modelo","manual_operador","01_manual_operador","PT","MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","TRATORES AGRICOLAS VALTRA 2/A63F/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","35105049","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A63F","modelo","manual_operador","01_manual_operador","PT","MANUAL DO OPERADOR TRATOR VALTRA A3F.pdf","TRATORES AGRICOLAS VALTRA 2/A63F/MANUAL DO OPERADOR TRATOR VALTRA A3F.pdf","688087","659611","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A63F","modelo","manual_operador","01_manual_operador","ES","MANUAL DO OPERADOR TRATOR VALTRA SERIE A3F EM ESPANHOL.pdf","TRATORES AGRICOLAS VALTRA 2/A63F/MANUAL DO OPERADOR TRATOR VALTRA SERIE A3F EM ESPANHOL.pdf","5533757","5231600","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A73F","modelo","catalogo_pecas","03_catalogo_pecas","PT","CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","TRATORES AGRICOLAS VALTRA 2/A73F/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","3058480","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A73F","modelo","manual_operador","01_manual_operador","PT","MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","TRATORES AGRICOLAS VALTRA 2/A73F/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","35105049","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A73F","modelo","manual_operador","01_manual_operador","PT","MANUAL DO OPERADOR TRATOR VALTRA A3F.pdf","TRATORES AGRICOLAS VALTRA 2/A73F/MANUAL DO OPERADOR TRATOR VALTRA A3F.pdf","688087","659611","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A73F","modelo","manual_operador","01_manual_operador","ES","MANUAL DO OPERADOR TRATOR VALTRA SERIE A3F EM ESPANHOL.pdf","TRATORES AGRICOLAS VALTRA 2/A73F/MANUAL DO OPERADOR TRATOR VALTRA SERIE A3F EM ESPANHOL.pdf","5533757","5231600","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A74","modelo","catalogo_pecas","03_catalogo_pecas","PT","CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","TRATORES AGRICOLAS VALTRA 2/A74/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","3058480","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
