"data_hora","modelo","modelo_id","arquivos","status","ok","mensagem"
"2026-07-02T19:29:40.912Z","A990","0196f443-bf8b-7092-a46b-c9fc1580f513","6","413","false","<html>
<head><title>413 Request Entity Too Large</title></head>
<body bgcolor=""white"">
<center><h1>413 Request Entity Too Large</h1></center>
<hr><center>nginx/1.14.1</center>
</body>
</html>
"
"2026-07-02T19:34:50.307Z","A990","0196f443-bf8b-7092-a46b-c9fc1580f513","1","200","true","CATÁLOGO DE PEÇAS DO TRATOR VALTRA A990.pdf | [{""id"":""019f2453-a1e7-7808-a4bc-c7f30ded9571"",""vehicleTypeId"":""019570fc-0046-7a7e-9537-5270ed100c7e"",""typeDescription"":"""",""vehicleBrandId"":""019570fb-3277-7051-b46d-e3f1b3f31d86"",""brandName"":"""",""vehicleModelId"":""0196f443-bf8b-7092-a46b-c9fc1580f513"",""modelName"":"""",""mediaAssetId"":""019f2453-a1e7-79a5-92f6-34c603db9bfa"",""name"":""CATÁLOGO DE PEÇAS DO TRATOR VALTRA A990"",""description"":null,""pdfUrl"":""https://cdn.appmaq.com.br/appmaq-media/manuals/0196f443-bf8b-7092-a46b-c9fc1580f513/019f2453-a1e7-7808-a"
"2026-07-02T19:34:51.728Z","A990","0196f443-bf8b-7092-a46b-c9fc1580f513","1","200","true","CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf | [{""id"":""019f2453-a894-7f8c-97e6-19e65ddbbb24"",""vehicleTypeId"":""019570fc-0046-7a7e-9537-5270ed100c7e"",""typeDescription"":"""",""vehicleBrandId"":""019570fb-3277-7051-b46d-e3f1b3f31d86"",""brandName"":"""",""vehicleModelId"":""0196f443-bf8b-7092-a46b-c9fc1580f513"",""modelName"":"""",""mediaAssetId"":""019f2453-a894-796a-894d-e7c79e554d6e"",""name"":""CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET"",""description"":null,""pdfUrl"":""https://cdn.appmaq.com.br/appmaq-media/manuals/0196f443-bf8b-7092-a46b-c9fc1580f513/019f2453-a894-7"
"2026-07-02T19:35:45.614Z","A990","0196f443-bf8b-7092-a46b-c9fc1580f513","1","200","true","FOLHETO COM  INFORMAÇÕES SOBRE ECONOMIA DE COMBUSTÍVEL, CONFORTO, VERSATILIDADE E TECNOLOGIA AVANÇADA DE TODOS TRATORES VALTRA..pdf | [{""id"":""019f2454-536a-7891-9eda-6f7488768ff6"",""vehicleTypeId"":""019570fc-0046-7a7e-9537-5270ed100c7e"",""typeDescription"":"""",""vehicleBrandId"":""019570fb-3277-7051-b46d-e3f1b3f31d86"",""brandName"":"""",""vehicleModelId"":""0196f443-bf8b-7092-a46b-c9fc1580f513"",""modelName"":"""",""mediaAssetId"":""019f2454-536a-7eaa-92bb-0d5cef0022da"",""name"":""FOLHETO COM  INFORMAÇÕES SOBRE ECONOMIA DE COMBUSTÍVEL, CONFORTO, VERSATILIDADE E TECNOLOGIA AVANÇADA DE TODOS TRATORES VALTRA."",""description"":null,""pdfUrl"":""https://cdn.appm"
"2026-07-02T19:36:01.305Z","A990","0196f443-bf8b-7092-a46b-c9fc1580f513","1","200","true","MANUAL COM INSTRUÇÕES PARA TRATORES VALTRA.pdf | [{""id"":""019f2454-b2c6-7243-a8f2-f0648cbfff58"",""vehicleTypeId"":""019570fc-0046-7a7e-9537-5270ed100c7e"",""typeDescription"":"""",""vehicleBrandId"":""019570fb-3277-7051-b46d-e3f1b3f31d86"",""brandName"":"""",""vehicleModelId"":""0196f443-bf8b-7092-a46b-c9fc1580f513"",""modelName"":"""",""mediaAssetId"":""019f2454-b2c6-7296-8317-973e3f7e211f"",""name"":""MANUAL COM INSTRUÇÕES PARA TRATORES VALTRA"",""description"":null,""pdfUrl"":""https://cdn.appmaq.com.br/appmaq-media/manuals/0196f443-bf8b-7092-a46b-c9fc1580f513/019f2454-b2c6-724"
"2026-07-02T19:36:10.579Z","A990","0196f443-bf8b-7092-a46b-c9fc1580f513","1","200","true","MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf | [{""id"":""019f2454-d8ff-71a8-9380-31fb69526643"",""vehicleTypeId"":""019570fc-0046-7a7e-9537-5270ed100c7e"",""typeDescription"":"""",""vehicleBrandId"":""019570fb-3277-7051-b46d-e3f1b3f31d86"",""brandName"":"""",""vehicleModelId"":""0196f443-bf8b-7092-a46b-c9fc1580f513"",""modelName"":"""",""mediaAssetId"":""019f2454-d8ff-71bc-970b-a0daf5459d17"",""name"":""MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA"",""description"":null,""pdfUrl"":""https://cdn.appmaq.com.br/appmaq-media/manuals/0196f443-bf8b-7"
"2026-07-02T19:36:16.291Z","A990","0196f443-bf8b-7092-a46b-c9fc1580f513","1","200","true","MANUAL DO OPERADOR DOS TRATORES VALTRA A650 A750 A750L A850 A950 A990.pdf | [{""id"":""019f2454-f16b-755f-ad7c-20c1b21080c6"",""vehicleTypeId"":""019570fc-0046-7a7e-9537-5270ed100c7e"",""typeDescription"":"""",""vehicleBrandId"":""019570fb-3277-7051-b46d-e3f1b3f31d86"",""brandName"":"""",""vehicleModelId"":""0196f443-bf8b-7092-a46b-c9fc1580f513"",""modelName"":"""",""mediaAssetId"":""019f2454-f16b-7ccc-8213-bfbb31675e2a"",""name"":""MANUAL DO OPERADOR DOS TRATORES VALTRA A650 A750 A750L A850 A950 A990"",""description"":null,""pdfUrl"":""https://cdn.appmaq.com.br/appmaq-media/manuals/0196f443-bf8b-7092-a46b-c9f"
"2026-07-02T19:36:16.292Z","A990","0196f443-bf8b-7092-a46b-c9fc1580f513","6","200_PARTES","true","Enviado em 6 partes por limite de tamanho do servidor."
"2026-07-02T19:37:32.384Z","A990C","0198b325-e039-7863-b9c5-5802348a848e","4","200","true","[{""id"":""019f2455-fbba-77a3-b552-6b170ffb8522"",""vehicleTypeId"":""019570fc-0046-7a7e-9537-5270ed100c7e"",""typeDescription"":"""",""vehicleBrandId"":""019570fb-3277-7051-b46d-e3f1b3f31d86"",""brandName"":"""",""vehicleModelId"":""0198b325-e039-7863-b9c5-5802348a848e"",""modelName"":"""",""mediaAssetId"":""019f2455-fbba-7116-9115-2f72f78eb88a"",""name"":""CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET"",""description"":null,""pdfUrl"":""https://cdn.appmaq.com.br/appmaq-media/manuals/0198b325-e039-7863-b9c5-5802348a848e/019f2455-fbba-7"
"2026-07-02T19:38:45.453Z","A990R","0196f443-bf8b-706a-9529-827dd08bdd68","6","200","true","[{""id"":""019f2457-1833-75df-af2b-3527b260918d"",""vehicleTypeId"":""019570fc-0046-7a7e-9537-5270ed100c7e"",""typeDescription"":"""",""vehicleBrandId"":""019570fb-3277-7051-b46d-e3f1b3f31d86"",""brandName"":"""",""vehicleModelId"":""0196f443-bf8b-706a-9529-827dd08bdd68"",""modelName"":"""",""mediaAssetId"":""019f2457-1833-79df-9a34-9dae92d3f976"",""name"":""CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET"",""description"":null,""pdfUrl"":""https://cdn.appmaq.com.br/appmaq-media/manuals/0196f443-bf8b-706a-9529-827dd08bdd68/019f2457-1833-7"
"2026-07-02T19:40:02.483Z","BM115","0195b3ba-39a6-7aa4-9719-bea5642880c9","7","200","true","[{""id"":""019f2458-4365-725f-9bff-84d0925e3c64"",""vehicleTypeId"":""019570fc-0046-7a7e-9537-5270ed100c7e"",""typeDescription"":"""",""vehicleBrandId"":""019570fb-3277-7051-b46d-e3f1b3f31d86"",""brandName"":"""",""vehicleModelId"":""0195b3ba-39a6-7aa4-9719-bea5642880c9"",""modelName"":"""",""mediaAssetId"":""019f2458-4365-76a9-bcf7-9e5e037c66ae"",""name"":""BOLETIM DE SERVIÇO VT 010-23 AJUSTE DO SINCRONISMO DA INJEÇÃO DOS TRATORES VALTRA BM115 BM135"",""description"":null,""pdfUrl"":""https://cdn.appmaq.com.br/appmaq-media/manuals/019"
"2026-07-02T19:41:19.749Z","BM115C","0198b32e-bf5a-7f90-8086-8043c8fd26e7","4","200","true","[{""id"":""019f2459-71ff-7b89-a088-484b0cf5dc1c"",""vehicleTypeId"":""019570fc-0046-7a7e-9537-5270ed100c7e"",""typeDescription"":"""",""vehicleBrandId"":""019570fb-3277-7051-b46d-e3f1b3f31d86"",""brandName"":"""",""vehicleModelId"":""0198b32e-bf5a-7f90-8086-8043c8fd26e7"",""modelName"":"""",""mediaAssetId"":""019f2459-71ff-7323-ab9d-9b094cbd9426"",""name"":""CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET"",""description"":null,""pdfUrl"":""https://cdn.appmaq.com.br/appmaq-media/manuals/0198b32e-bf5a-7f90-8086-8043c8fd26e7/019f2459-71ff-7"
"2026-07-02T19:42:46.554Z","BM135","0198b32f-88e1-779d-bb39-98196fb3ac4d","7","200","true","[{""id"":""019f245a-c169-7ea8-b541-8af5e4e2ee0c"",""vehicleTypeId"":""019570fc-0046-7a7e-9537-5270ed100c7e"",""typeDescription"":"""",""vehicleBrandId"":""019570fb-3277-7051-b46d-e3f1b3f31d86"",""brandName"":"""",""vehicleModelId"":""0198b32f-88e1-779d-bb39-98196fb3ac4d"",""modelName"":"""",""mediaAssetId"":""019f245a-c169-7d39-9fba-67a03578139b"",""name"":""BOLETIM DE SERVIÇO VT 010-23 AJUSTE DO SINCRONISMO DA INJEÇÃO DOS TRATORES VALTRA BM115 BM135"",""description"":null,""pdfUrl"":""https://cdn.appmaq.com.br/appmaq-media/manuals/019"
"2026-07-02T19:44:04.351Z","BM135C","0195b3ba-39a6-7d3b-98e3-2a842d2e9f0a","4","200","true","[{""id"":""019f245b-f4ab-7ee1-96c5-dd27c041d580"",""vehicleTypeId"":""019570fc-0046-7a7e-9537-5270ed100c7e"",""typeDescription"":"""",""vehicleBrandId"":""019570fb-3277-7051-b46d-e3f1b3f31d86"",""brandName"":"""",""vehicleModelId"":""0195b3ba-39a6-7d3b-98e3-2a842d2e9f0a"",""modelName"":"""",""mediaAssetId"":""019f245b-f4ab-79f2-bed0-2860105603f0"",""name"":""CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET"",""description"":null,""pdfUrl"":""https://cdn.appmaq.com.br/appmaq-media/manuals/0195b3ba-39a6-7d3b-98e3-2a842d2e9f0a/019f245b-f4ab-7"
"2026-07-02T19:45:25.282Z","BT170","01957100-b0e0-7794-8555-40e70df45551","5","200","true","[{""id"":""019f245d-351c-79b2-94a5-a15987cb680b"",""vehicleTypeId"":""019570fc-0046-7a7e-9537-5270ed100c7e"",""typeDescription"":"""",""vehicleBrandId"":""019570fb-3277-7051-b46d-e3f1b3f31d86"",""brandName"":"""",""vehicleModelId"":""01957100-b0e0-7794-8555-40e70df45551"",""modelName"":"""",""mediaAssetId"":""019f245d-351c-7dc2-9686-c03ac8096264"",""name"":""CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET"",""description"":null,""pdfUrl"":""https://cdn.appmaq.com.br/appmaq-media/manuals/01957100-b0e0-7794-8555-40e70df45551/019f245d-351c-7"
"2026-07-02T19:46:39.865Z","BT190","01957100-b0e0-7448-a2cb-1ed5622751a7","5","200","true","[{""id"":""019f245e-565b-7535-81a1-283b03b81f4b"",""vehicleTypeId"":""019570fc-0046-7a7e-9537-5270ed100c7e"",""typeDescription"":"""",""vehicleBrandId"":""019570fb-3277-7051-b46d-e3f1b3f31d86"",""brandName"":"""",""vehicleModelId"":""01957100-b0e0-7448-a2cb-1ed5622751a7"",""modelName"":"""",""mediaAssetId"":""019f245e-565b-7c53-ac89-7067b305f993"",""name"":""CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET"",""description"":null,""pdfUrl"":""https://cdn.appmaq.com.br/appmaq-media/manuals/01957100-b0e0-7448-a2cb-1ed5622751a7/019f245e-565b-7"
"2026-07-02T19:48:01.618Z","BT210","01957100-b0e0-7706-aff2-a8c52fa00d5c","6","200","true","[{""id"":""019f245f-94e9-72ed-8f51-b067850d82b7"",""vehicleTypeId"":""019570fc-0046-7a7e-9537-5270ed100c7e"",""typeDescription"":"""",""vehicleBrandId"":""019570fb-3277-7051-b46d-e3f1b3f31d86"",""brandName"":"""",""vehicleModelId"":""01957100-b0e0-7706-aff2-a8c52fa00d5c"",""modelName"":"""",""mediaAssetId"":""019f245f-94e9-76c2-9a1b-cc2789bda11f"",""name"":""CATÁLOGO DE PEÇAS DO SISTEMA ELÉTRICO DO TRATOR VALTRA BT210"",""description"":null,""pdfUrl"":""https://cdn.appmaq.com.br/appmaq-media/manuals/01957100-b0e0-7706-aff2-a8c52fa00d5c"
