"data_download","batch_id","marca","modelo","tipo_documento","fonte","url","arquivo_local","tamanho_bytes","paginas","sha256","status","observacao"
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A135 HiTech","manual_operador","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A135 HiTech/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A135 HiTech\01_manual_operador\MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A144","catalogo_pecas","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A144/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A144\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A144","ficha_tecnica_folheto","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A144/FOLHETO COM  INFORMAÇÕES SOBRE ECONOMIA DE COMBUSTÍVEL, CONFORTO, VERSATILIDADE E TECNOLOGIA AVANÇADA DE TODOS TRATORES VALTRA..pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A144\07_ficha_tecnica_folheto\FOLHETO COM INFORMAÇÕES SOBRE ECONOMIA DE COMBUSTÍVEL, CONFORTO, VERSATILIDADE E TECNOLOGIA AVANÇADA DE TODOS TRATORES VALTRA..pdf","189856864","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A144","ficha_tecnica_folheto","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A144/FOLHETO DOS TRATORES AGRICOLAS A4.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A144\07_ficha_tecnica_folheto\FOLHETO DOS TRATORES AGRICOLAS A4.pdf","2196975","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A144","manual_operador","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A144/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A144\01_manual_operador\MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A144L","catalogo_pecas","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A144L/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A144L\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A144L","manual_operador","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A144L/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A144L\01_manual_operador\MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A144LC","catalogo_pecas","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A144LC/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A144LC\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A144LC","manual_complementar","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A144LC/MANUAL COM INSTRUÇÕES PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A144LC\08_manual_complementar\MANUAL COM INSTRUÇÕES PARA TRATORES VALTRA.pdf","56623982","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A144LC","manual_operador","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A144LC/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A144LC\01_manual_operador\MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A145","catalogo_pecas","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A145/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A145\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A145","ficha_tecnica_folheto","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A145/FOLHETO DOS TRATORES AGRICOLAS A5.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A145\07_ficha_tecnica_folheto\FOLHETO DOS TRATORES AGRICOLAS A5.pdf","2378539","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A145","manual_operador","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A145/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A145\01_manual_operador\MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A145 HiTech","catalogo_pecas","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A145 HiTech/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A145 HiTech\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A145 HiTech","ficha_tecnica_folheto","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A145 HiTech/FOLHETO DOS TRATORES AGRICOLAS A5 HITECH.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A145 HiTech\07_ficha_tecnica_folheto\FOLHETO DOS TRATORES AGRICOLAS A5 HITECH.pdf","240866","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A145 HiTech","manual_operador","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A145 HiTech/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A145 HiTech\01_manual_operador\MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A52s","catalogo_pecas","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A52s/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A52s\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A52s","ficha_tecnica_folheto","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A52s/FOLHETO DOS TRATORES AGRICOLAS A2s.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A52s\07_ficha_tecnica_folheto\FOLHETO DOS TRATORES AGRICOLAS A2s.pdf","2635207","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A52s","manual_operador","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A52s/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A52s\01_manual_operador\MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A550","catalogo_pecas","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A550/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A550\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A550","ficha_tecnica_folheto","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A550/FOLHETO COM  INFORMAÇÕES SOBRE ECONOMIA DE COMBUSTÍVEL, CONFORTO, VERSATILIDADE E TECNOLOGIA AVANÇADA DE TODOS TRATORES VALTRA..pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A550\07_ficha_tecnica_folheto\FOLHETO COM INFORMAÇÕES SOBRE ECONOMIA DE COMBUSTÍVEL, CONFORTO, VERSATILIDADE E TECNOLOGIA AVANÇADA DE TODOS TRATORES VALTRA..pdf","189856864","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
