"data_lote","batch_id","marca","modelo","tipo_documento","fonte","consulta","titulo","url","idioma","acesso","status","score","observacao"
"2026-07-01T10:36:58","usuario_zip_valtra_20260701","VALTRA","A850F","manual_operador","ZIP usuario - Scribd/oficial informado","arquivo enviado pelo usuario","MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A850F/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","PT","arquivo_local_usuario","candidato_por_pasta_usuario","90","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:36:58","usuario_zip_valtra_20260701","VALTRA","A93F","catalogo_pecas","ZIP usuario - Scribd/oficial informado","arquivo enviado pelo usuario","CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A93F/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","PT","arquivo_local_usuario","candidato_por_pasta_usuario","90","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:36:58","usuario_zip_valtra_20260701","VALTRA","A93F","manual_operador","ZIP usuario - Scribd/oficial informado","arquivo enviado pelo usuario","MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A93F/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","PT","arquivo_local_usuario","candidato_por_pasta_usuario","90","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:36:58","usuario_zip_valtra_20260701","VALTRA","A93F","manual_operador","ZIP usuario - Scribd/oficial informado","arquivo enviado pelo usuario","MANUAL DO OPERADOR TRATOR VALTRA A3F.pdf","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A93F/MANUAL DO OPERADOR TRATOR VALTRA A3F.pdf","PT","arquivo_local_usuario","candidato_por_pasta_usuario","90","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:36:58","usuario_zip_valtra_20260701","VALTRA","A93F","manual_operador","ZIP usuario - Scribd/oficial informado","arquivo enviado pelo usuario","MANUAL DO OPERADOR TRATOR VALTRA SERIE A3F EM ESPANHOL.pdf","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A93F/MANUAL DO OPERADOR TRATOR VALTRA SERIE A3F EM ESPANHOL.pdf","ES","arquivo_local_usuario","candidato_por_pasta_usuario","90","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:36:58","usuario_zip_valtra_20260701","VALTRA","A94","catalogo_pecas","ZIP usuario - Scribd/oficial informado","arquivo enviado pelo usuario","CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A94/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","PT","arquivo_local_usuario","candidato_por_pasta_usuario","90","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:36:58","usuario_zip_valtra_20260701","VALTRA","A94","ficha_tecnica_folheto","ZIP usuario - Scribd/oficial informado","arquivo enviado pelo usuario","FOLHETO DOS TRATORES AGRICOLAS A94 E A104.pdf","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A94/FOLHETO DOS TRATORES AGRICOLAS A94 E A104.pdf","PT","arquivo_local_usuario","candidato_por_pasta_usuario","90","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:36:58","usuario_zip_valtra_20260701","VALTRA","A94","ficha_tecnica_folheto","ZIP usuario - Scribd/oficial informado","arquivo enviado pelo usuario","FOLHETO SOBRE POTÊNCIA E VERSATILIDADE TRATORES VALTRA SÉRIE A4 E A4S.pdf","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A94/FOLHETO SOBRE POTÊNCIA E VERSATILIDADE TRATORES VALTRA SÉRIE A4 E A4S.pdf","PT","arquivo_local_usuario","candidato_por_pasta_usuario","90","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:36:58","usuario_zip_valtra_20260701","VALTRA","A94","manual_complementar","ZIP usuario - Scribd/oficial informado","arquivo enviado pelo usuario","MANUAL COM INSTRUÇÕES PARA TRATORES VALTRA.pdf","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A94/MANUAL COM INSTRUÇÕES PARA TRATORES VALTRA.pdf","PT","arquivo_local_usuario","candidato_por_pasta_usuario","90","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:36:58","usuario_zip_valtra_20260701","VALTRA","A94","manual_manutencao","ZIP usuario - Scribd/oficial informado","arquivo enviado pelo usuario","MANUTENÇÃO PERIÓDICA TRATORES VALTRA A4 E BH G2.pdf","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A94/MANUTENÇÃO PERIÓDICA TRATORES VALTRA A4 E BH G2.pdf","PT","arquivo_local_usuario","candidato_por_pasta_usuario","90","Documento estava dentro da pasta do modelo no ZIP do usuario."
